Arrest Year;Arrest Month;Arrest Month Name;Gender;Age Group;Ethnicity (4+1);First Arrest Offnece;Domestic Abuse Flag;Arrest Count
2019;1;January;Female;Adult;Asian;Assault;No;10
2019;1;January;Female;Adult;Asian;Assault;Yes;22
2019;1;January;Female;Adult;Asian;Burglary;No;1
2019;1;January;Female;Adult;Asian;Driving;No;8
2019;1;January;Female;Adult;Asian;Drugs;No;4
2019;1;January;Female;Adult;Asian;Immigration;No;7
2019;1;January;Female;Adult;Asian;Murder;No;2
2019;1;January;Female;Adult;Asian;Murder;Yes;1
2019;1;January;Female;Adult;Asian;Offensive Weapons;No;1
2019;1;January;Female;Adult;Asian;Other Offence;No;35
2019;1;January;Female;Adult;Asian;Other Offence;Yes;22
2019;1;January;Female;Adult;Asian;Robbery;No;1
2019;1;January;Female;Adult;Asian;Robbery;Yes;1
2019;1;January;Female;Adult;Asian;Theft;No;13
2019;1;January;Female;Adult;Black;Assault;No;53
2019;1;January;Female;Adult;Black;Assault;Yes;48
2019;1;January;Female;Adult;Black;Burglary;No;8
2019;1;January;Female;Adult;Black;Burglary;Yes;1
2019;1;January;Female;Adult;Black;Driving;No;27
2019;1;January;Female;Adult;Black;Drugs;No;35
2019;1;January;Female;Adult;Black;Immigration;No;2
2019;1;January;Female;Adult;Black;Murder;No;4
2019;1;January;Female;Adult;Black;Offensive Weapons;No;8
2019;1;January;Female;Adult;Black;Other Offence;No;158
2019;1;January;Female;Adult;Black;Other Offence;Yes;41
2019;1;January;Female;Adult;Black;Robbery;No;1
2019;1;January;Female;Adult;Black;Sexual Offences;No;2
2019;1;January;Female;Adult;Black;Theft;No;32
2019;1;January;Female;Adult;Not Recorded;Driving;No;1
2019;1;January;Female;Adult;Not Recorded;Immigration;No;1
2019;1;January;Female;Adult;Not Recorded;Other Offence;No;3
2019;1;January;Female;Adult;Not Recorded;Other Offence;Yes;1
2019;1;January;Female;Adult;Not Recorded;Theft;No;1
2019;1;January;Female;Adult;Other ;Assault;Yes;4
2019;1;January;Female;Adult;Other ;Burglary;No;1
2019;1;January;Female;Adult;Other ;Drugs;No;1
2019;1;January;Female;Adult;Other ;Immigration;No;1
2019;1;January;Female;Adult;Other ;Offensive Weapons;No;2
2019;1;January;Female;Adult;Other ;Other Offence;No;9
2019;1;January;Female;Adult;Other ;Theft;No;2
2019;1;January;Female;Adult;White;Assault;No;90
2019;1;January;Female;Adult;White;Assault;Yes;92
2019;1;January;Female;Adult;White;Burglary;No;18
2019;1;January;Female;Adult;White;Burglary;Yes;1
2019;1;January;Female;Adult;White;Driving;No;49
2019;1;January;Female;Adult;White;Drugs;No;49
2019;1;January;Female;Adult;White;Immigration;No;3
2019;1;January;Female;Adult;White;Murder;No;5
