Current Disposal Year;Current Disposal Month;Current Disposal Month Name;Gender;Age Group;Ethnicity (4+1);Offence Group;Current Disposal;Offence Count
2019;1;January;Female;Adult;Asian;Assault;No Further Action;50
2019;1;January;Female;Adult;Asian;Assault;Out of Court;4
2019;1;January;Female;Adult;Asian;Assault;Prosecution;6
2019;1;January;Female;Adult;Asian;Drug Possession;No Further Action;1
2019;1;January;Female;Adult;Asian;Drug Possession;Out of Court;2
2019;1;January;Female;Adult;Asian;Drug Possession;Prosecution;5
2019;1;January;Female;Adult;Asian;Drug Supply;No Further Action;2
2019;1;January;Female;Adult;Asian;Drug Supply;Prosecution;2
2019;1;January;Female;Adult;Asian;Drugs - Other;Prosecution;2
2019;1;January;Female;Adult;Asian;Murder;No Further Action;1
2019;1;January;Female;Adult;Asian;Other Offence;No Further Action;34
2019;1;January;Female;Adult;Asian;Other Offence;Other Disposals;9
2019;1;January;Female;Adult;Asian;Other Offence;Out of Court;9
2019;1;January;Female;Adult;Asian;Other Offence;Prosecution;28
2019;1;January;Female;Adult;Asian;Other Offence;Released Under Investigation;2
2019;1;January;Female;Adult;Asian;Other Offence;To Court;5
2019;1;January;Female;Adult;Asian;Robbery;No Further Action;3
2019;1;January;Female;Adult;Asian;Robbery;Other Disposals;1
2019;1;January;Female;Adult;Asian;Sexual Offences;No Further Action;1
2019;1;January;Female;Adult;Black;Assault;No Further Action;130
2019;1;January;Female;Adult;Black;Assault;Other Disposals;1
2019;1;January;Female;Adult;Black;Assault;Out of Court;10
2019;1;January;Female;Adult;Black;Assault;Prosecution;51
2019;1;January;Female;Adult;Black;Drug Possession;No Further Action;10
2019;1;January;Female;Adult;Black;Drug Possession;Out of Court;5
2019;1;January;Female;Adult;Black;Drug Possession;Prosecution;7
2019;1;January;Female;Adult;Black;Drug Supply;No Further Action;6
2019;1;January;Female;Adult;Black;Drug Supply;Other Disposals;1
2019;1;January;Female;Adult;Black;Drug Supply;Prosecution;5
2019;1;January;Female;Adult;Black;Drugs - Other;No Further Action;2
2019;1;January;Female;Adult;Black;Drugs - Other;Other Disposals;1
2019;1;January;Female;Adult;Black;Drugs - Other;Prosecution;2
2019;1;January;Female;Adult;Black;Murder;No Further Action;4
2019;1;January;Female;Adult;Black;Other Offence;No Further Action;139
2019;1;January;Female;Adult;Black;Other Offence;Other Disposals;20
2019;1;January;Female;Adult;Black;Other Offence;Out of Court;23
2019;1;January;Female;Adult;Black;Other Offence;Prosecution;89
2019;1;January;Female;Adult;Black;Other Offence;Released Under Investigation;1
2019;1;January;Female;Adult;Black;Other Offence;To Court;39
2019;1;January;Female;Adult;Black;Robbery;Prosecution;2
2019;1;January;Female;Adult;Black;Sexual Offences;Prosecution;1
2019;1;January;Female;Adult;Black;Sexual Offences;Released Under Investigation;1
2019;1;January;Female;Adult;Black;Weapons;No Further Action;12
2019;1;January;Female;Adult;Black;Weapons;Prosecution;2
2019;1;January;Female;Adult;Not Recorded;Assault;No Further Action;2
2019;1;January;Female;Adult;Not Recorded;Assault;Prosecution;1
2019;1;January;Female;Adult;Not Recorded;Drug Possession;Prosecution;1
2019;1;January;Female;Adult;Not Recorded;Drug Supply;No Further Action;1
2019;1;January;Female;Adult;Not Recorded;Drug Supply;Prosecution;1
2019;1;January;Female;Adult;Not Recorded;Other Offence;No Further Action;7
2019;1;January;Female;Adult;Not Recorded;Other Offence;Other Disposals;1
2019;1;January;Female;Adult;Not Recorded;Other Offence;Prosecution;3
2019;1;January;Female;Adult;Not Recorded;Weapons;No Further Action;2
2019;1;January;Female;Adult;Not Recorded;Weapons;Prosecution;1
2019;1;January;Female;Adult;Other ;Assault;No Further Action;9
2019;1;January;Female;Adult;Other ;Assault;Prosecution;1
2019;1;January;Female;Adult;Other ;Drug Possession;Prosecution;1
2019;1;January;Female;Adult;Other ;Drug Supply;No Further Action;1
2019;1;January;Female;Adult;Other ;Other Offence;No Further Action;8
2019;1;January;Female;Adult;Other ;Other Offence;Other Disposals;2
2019;1;January;Female;Adult;Other ;Other Offence;Out of Court;2
2019;1;January;Female;Adult;Other ;Other Offence;Prosecution;2
2019;1;January;Female;Adult;Other ;Weapons;No Further Action;1
2019;1;January;Female;Adult;Other ;Weapons;Out of Court;1
2019;1;January;Female;Adult;White;Assault;No Further Action;231
2019;1;January;Female;Adult;White;Assault;Other Disposals;2
2019;1;January;Female;Adult;White;Assault;Out of Court;34
2019;1;January;Female;Adult;White;Assault;Prosecution;61
2019;1;January;Female;Adult;White;Assault;Released Under Investigation;1
2019;1;January;Female;Adult;White;Drug Possession;No Further Action;15
2019;1;January;Female;Adult;White;Drug Possession;Other Disposals;1
2019;1;January;Female;Adult;White;Drug Possession;Out of Court;15
2019;1;January;Female;Adult;White;Drug Possession;Prosecution;23
2019;1;January;Female;Adult;White;Drug Supply;No Further Action;13
2019;1;January;Female;Adult;White;Drug Supply;Prosecution;3
2019;1;January;Female;Adult;White;Drugs - Other;No Further Action;5
2019;1;January;Female;Adult;White;Drugs - Other;Other Disposals;2
2019;1;January;Female;Adult;White;Drugs - Other;Prosecution;10
2019;1;January;Female;Adult;White;Drugs - Other;To Court;1
2019;1;January;Female;Adult;White;Murder;No Further Action;2
2019;1;January;Female;Adult;White;Other Offence;No Further Action;260
2019;1;January;Female;Adult;White;Other Offence;Other Disposals;44
2019;1;January;Female;Adult;White;Other Offence;Out of Court;60
2019;1;January;Female;Adult;White;Other Offence;Prosecution;187
2019;1;January;Female;Adult;White;Other Offence;To Court;81
2019;1;January;Female;Adult;White;Robbery;No Further Action;5
2019;1;January;Female;Adult;White;Robbery;Other Disposals;1
2019;1;January;Female;Adult;White;Robbery;Prosecution;1
2019;1;January;Female;Adult;White;Sexual Offences;No Further Action;4
2019;1;January;Female;Adult;White;Sexual Offences;Other Disposals;1
2019;1;January;Female;Adult;White;Sexual Offences;Out of Court;1
2019;1;January;Female;Adult;White;Sexual Offences;Released Under Investigation;1
2019;1;January;Female;Adult;White;Weapons;No Further Action;14
2019;1;January;Female;Adult;White;Weapons;Other Disposals;1
2019;1;January;Female;Adult;White;Weapons;Out of Court;1
2019;1;January;Female;Adult;White;Weapons;Prosecution;11
2019;1;January;Female;Youth;Asian;Assault;No Further Action;1
2019;1;January;Female;Youth;Asian;Drug Supply;No Further Action;1
2019;1;January;Female;Youth;Asian;Other Offence;No Further Action;2
2019;1;January;Female;Youth;Asian;Other Offence;Prosecution;2
2019;1;January;Female;Youth;Black;Assault;No Further Action;19
2019;1;January;Female;Youth;Black;Assault;Other Disposals;1
2019;1;January;Female;Youth;Black;Assault;Prosecution;3
2019;1;January;Female;Youth;Black;Drug Possession;No Further Action;2
2019;1;January;Female;Youth;Black;Other Offence;No Further Action;21
2019;1;January;Female;Youth;Black;Other Offence;Other Disposals;1
2019;1;January;Female;Youth;Black;Other Offence;Prosecution;1
2019;1;January;Female;Youth;Black;Other Offence;To Court;4
2019;1;January;Female;Youth;Black;Robbery;No Further Action;7
2019;1;January;Female;Youth;Black;Weapons;No Further Action;2
2019;1;January;Female;Youth;Black;Weapons;Prosecution;2
2019;1;January;Female;Youth;Not Recorded;Assault;Prosecution;1
2019;1;January;Female;Youth;Not Recorded;Other Offence;No Further Action;1
2019;1;January;Female;Youth;Other ;Assault;No Further Action;4
2019;1;January;Female;Youth;Other ;Other Offence;No Further Action;3
2019;1;January;Female;Youth;White;Assault;No Further Action;11
2019;1;January;Female;Youth;White;Assault;Other Disposals;1
2019;1;January;Female;Youth;White;Assault;Prosecution;8
2019;1;January;Female;Youth;White;Drug Possession;No Further Action;3
2019;1;January;Female;Youth;White;Drug Supply;No Further Action;4
2019;1;January;Female;Youth;White;Other Offence;No Further Action;29
2019;1;January;Female;Youth;White;Other Offence;Other Disposals;1
2019;1;January;Female;Youth;White;Other Offence;Prosecution;9
2019;1;January;Female;Youth;White;Robbery;No Further Action;3
2019;1;January;Female;Youth;White;Robbery;Prosecution;3
2019;1;January;Female;Youth;White;Weapons;No Further Action;2
2019;1;January;Female;Youth;White;Weapons;Prosecution;5
2019;1;January;Male;Adult;Asian;Assault;No Further Action;341
2019;1;January;Male;Adult;Asian;Assault;Other Disposals;10
2019;1;January;Male;Adult;Asian;Assault;Out of Court;24
2019;1;January;Male;Adult;Asian;Assault;Prosecution;106
2019;1;January;Male;Adult;Asian;Assault;To Court;1
2019;1;January;Male;Adult;Asian;Drug Possession;No Further Action;45
2019;1;January;Male;Adult;Asian;Drug Possession;Other Disposals;5
2019;1;January;Male;Adult;Asian;Drug Possession;Out of Court;39
2019;1;January;Male;Adult;Asian;Drug Possession;Prosecution;96
2019;1;January;Male;Adult;Asian;Drug Supply;No Further Action;55
2019;1;January;Male;Adult;Asian;Drug Supply;Other Disposals;3
2019;1;January;Male;Adult;Asian;Drug Supply;Out of Court;1
2019;1;January;Male;Adult;Asian;Drug Supply;Prosecution;21
2019;1;January;Male;Adult;Asian;Drug Supply;Released Under Investigation;1
2019;1;January;Male;Adult;Asian;Drugs - Other;No Further Action;27
2019;1;January;Male;Adult;Asian;Drugs - Other;Other Disposals;3
2019;1;January;Male;Adult;Asian;Drugs - Other;Out of Court;2
2019;1;January;Male;Adult;Asian;Drugs - Other;Prosecution;29
2019;1;January;Male;Adult;Asian;Murder;No Further Action;4
2019;1;January;Male;Adult;Asian;Murder;Prosecution;3
2019;1;January;Male;Adult;Asian;Other Offence;No Further Action;494
2019;1;January;Male;Adult;Asian;Other Offence;Other Disposals;103
2019;1;January;Male;Adult;Asian;Other Offence;Out of Court;57
2019;1;January;Male;Adult;Asian;Other Offence;Prosecution;331
2019;1;January;Male;Adult;Asian;Other Offence;Released Under Investigation;2
2019;1;January;Male;Adult;Asian;Other Offence;To Court;78
2019;1;January;Male;Adult;Asian;Robbery;No Further Action;10
2019;1;January;Male;Adult;Asian;Robbery;Prosecution;6
2019;1;January;Male;Adult;Asian;Robbery;To Court;1
2019;1;January;Male;Adult;Asian;Sexual Offences;No Further Action;56
2019;1;January;Male;Adult;Asian;Sexual Offences;Other Disposals;2
2019;1;January;Male;Adult;Asian;Sexual Offences;Out of Court;4
2019;1;January;Male;Adult;Asian;Sexual Offences;Prosecution;13
2019;1;January;Male;Adult;Asian;Weapons;No Further Action;54
2019;1;January;Male;Adult;Asian;Weapons;Other Disposals;2
2019;1;January;Male;Adult;Asian;Weapons;Out of Court;4
2019;1;January;Male;Adult;Asian;Weapons;Prosecution;37
2019;1;January;Male;Adult;Black;Assault;No Further Action;595
2019;1;January;Male;Adult;Black;Assault;Other Disposals;18
2019;1;January;Male;Adult;Black;Assault;Out of Court;29
2019;1;January;Male;Adult;Black;Assault;Prosecution;246
2019;1;January;Male;Adult;Black;Drug Possession;No Further Action;127
2019;1;January;Male;Adult;Black;Drug Possession;Other Disposals;8
2019;1;January;Male;Adult;Black;Drug Possession;Out of Court;89
2019;1;January;Male;Adult;Black;Drug Possession;Prosecution;311
2019;1;January;Male;Adult;Black;Drug Possession;Released Under Investigation;2
2019;1;January;Male;Adult;Black;Drug Supply;No Further Action;166
2019;1;January;Male;Adult;Black;Drug Supply;Other Disposals;12
2019;1;January;Male;Adult;Black;Drug Supply;Out of Court;1
2019;1;January;Male;Adult;Black;Drug Supply;Prosecution;81
2019;1;January;Male;Adult;Black;Drug Supply;Released Under Investigation;3
2019;1;January;Male;Adult;Black;Drugs - Other;No Further Action;43
