;;;;;;;;;;;;;;
IMPORTANT: Please ensure that the Notes Page is read in conjunction with the data in this report to ensure that it is interpreted correctly.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
People Proceeded Against Aged between 13 and 19, broken down by Category Offence.;;;;;;;;People Proceeded Against Aged between 13 and 19, broken down by Borough.;;;;;;
Recorded between 01/01/2019 and 31/01/2022.;;;;;;;;Recorded between 01/01/2019 and 31/01/2022.;;;;;;
;;;;;;;;;;;;;;
Category Offence;2019;2020;2021;2022;;;;Borough;2019;2020;2021;2022;;
Violence Against the Person;2045;2142;1712;147;;;;Barking & Dagenham;285;448;258;34;;
Sexual Offences;113;112;111;12;;;;Barnet;284;421;366;24;;
Robbery;1481;1850;1352;86;;;;Bexley;169;292;145;17;;
Burglary;477;397;353;18;;;;Brent;458;452;298;28;;
Vehicle Offences;393;432;244;22;;;;Bromley;302;346;235;17;;
Theft;887;666;390;32;;;;Camden;391;425;330;16;;
Arson and Criminal Damage;368;434;258;23;;;;Croydon;482;663;425;39;;
Drug Offences;3698;4750;3174;224;;;;Ealing;404;504;307;27;;
Possession of Weapons;1353;1417;1192;99;;;;Enfield;407;487;302;18;;
Public Order Offences;387;494;360;27;;;;Greenwich;366;456;362;26;;
Miscellaneous Crimes Against Society;266;413;234;22;;;;Hackney;430;447;416;30;;
Grand Total;11468;13107;9381;712;;;;Hammersmith & Fulham;280;292;188;7;;
;;;;;;;;Haringey;415;507;338;16;;
;;;;;;;;Harrow;179;252;234;10;;
;;;;;;;;Havering;321;345;250;17;;
;;;;;;;;Heathrow;17;12;5;1;;
;;;;;;;;Hillingdon;344;359;262;19;;
;;;;;;;;Hounslow;376;367;249;22;;
;;;;;;;;Islington;417;399;376;10;;
;;;;;;;;Kensington & Chelsea;217;203;132;9;;
;;;;;;;;Kingston Upon Thames;261;222;134;11;;
;;;;;;;;Lambeth;422;545;422;32;;
;;;;;;;;Lewisham;408;408;293;23;;
;;;;;;;;Merton;286;194;125;17;;
;;;;;;;;Newham;756;778;517;45;;
;;;;;;;;Redbridge;317;382;288;29;;
;;;;;;;;Richmond Upon Thames;169;141;77;6;;
;;;;;;;;Southwark;454;538;382;26;;
;;;;;;;;Sutton;155;190;157;14;;
;;;;;;;;Tower Hamlets;538;685;514;36;;
;;;;;;;;Waltham Forest;349;462;312;23;;
;;;;;;;;Wandsworth;265;322;197;17;;
;;;;;;;;Westminster;544;563;484;46;;
;;;;;;;;Grand Total;11468;13107;9380;712;;
