Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,Borough,time_identifier
Person search,2022-09-01 00:20:00,False,,51.53635,-0.090113,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,Islington,Autumn term
Person search,2022-09-01 02:14:00,False,,51.5227,-0.078576,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Hackney,Autumn term
Person search,2022-09-01 02:30:00,False,,,,Male,10-17,Asian/Asian British - Bangladeshi,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-01 04:00:00,False,,51.516178,-0.131904,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,Islington,Autumn term
Person search,2022-09-01 04:20:00,False,,51.516178,-0.131904,Male,10-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,Islington,Autumn term
Person search,2022-09-01 07:30:00,False,,,,Male,10-17,Other ethnic group - Not stated,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,Unknown,Autumn term
Person search,2022-09-01 08:30:00,False,,,,Male,10-17,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,Unknown,Autumn term
Person and Vehicle search,2022-09-01 10:25:00,False,,,,Male,10-17,Other ethnic group - Not stated,Other,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Penalty Notice for Disorder,,,Unknown,Autumn term
Person search,2022-09-01 11:00:00,False,,51.378124,-0.102799,Male,10-17,Other ethnic group - Any other ethnic group,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,Croydon,Autumn term
Person search,2022-09-01 11:42:00,False,,51.491761,-0.232687,Male,10-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,,,Hammersmith and Fulham,Autumn term
Person search,2022-09-01 11:57:00,False,,51.479737,-0.210053,Female,10-17,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Hammersmith and Fulham,Autumn term
Person search,2022-09-01 11:57:00,False,,51.479737,-0.210053,Male,10-17,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Hammersmith and Fulham,Autumn term
Person search,2022-09-01 12:30:00,False,,,,Male,10-17,Other ethnic group - Any other ethnic group,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,Unknown,Autumn term
Person search,2022-09-01 12:48:00,False,,51.584983,-0.328266,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,Harrow,Autumn term
Person search,2022-09-01 12:55:00,False,,51.584983,-0.328266,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Harrow,Autumn term
Person search,2022-09-01 14:03:00,False,,,,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-01 14:03:00,False,,51.51309,-0.135043,Female,10-17,Asian/Asian British - Chinese,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Islington,Autumn term
Person search,2022-09-01 14:10:00,False,,51.593487,-0.106674,Male,10-17,Other ethnic group - Any other ethnic group,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Haringey,Autumn term
Person search,2022-09-01 14:12:00,False,,,,Male,10-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-01 14:15:00,False,,51.51309,-0.135043,Male,10-17,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,Islington,Autumn term
Person search,2022-09-01 14:19:00,False,,,,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-01 14:20:00,False,,,,Male,10-17,Other ethnic group - Not stated,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-01 14:25:00,False,,51.408617,-0.300787,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Kingston upon Thames,Autumn term
Person search,2022-09-01 14:25:00,False,,51.557832,0.093858,Male,10-17,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,Redbridge,Autumn term
Person search,2022-09-01 14:32:00,False,,,,Male,10-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-01 14:45:00,False,,51.423959,-0.129051,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Lambeth,Autumn term
Person search,2022-09-01 14:45:00,False,,51.539654,-0.102521,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Islington,Autumn term
Person search,2022-09-01 14:55:00,False,,51.549568,-0.055015,Male,10-17,Asian/Asian British - Indian,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Hackney,Autumn term
Person search,2022-09-01 15:00:00,False,,51.481233,-0.027046,Male,10-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Lewisham,Autumn term
Person and Vehicle search,2022-09-01 15:00:00,False,,51.499911,-0.089519,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Southwark,Autumn term
Person search,2022-09-01 15:10:00,False,,51.373681,-0.101675,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Croydon,Autumn term
Person and Vehicle search,2022-09-01 15:13:00,False,,51.47616,-0.093291,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Southwark,Autumn term
