Name,Latitude,Longitude,Type
M&S Foodhall,51.53781,-0.1420408,Supermarket
Waitrose,51.5163445,-0.1872577,Supermarket
Siragro Food & Wine,51.551496,-0.3197216,Supermarket
Co-op Food,51.3651976,-0.1610793,Supermarket
Iceland,51.6066678,0.2184595,Supermarket
Co-op Food,51.5935962,0.2333935,Supermarket
Sainsbury's New Barnet,51.6495733,-0.1714391,Supermarket
Waitrose,51.6559569,-0.2039214,Supermarket
Lidl,51.4252759,-0.04804,Supermarket
Lidl,51.4263195,-0.0262991,Supermarket
Tesco,51.4530045,-0.1465366,Supermarket
Co-op,51.3534368,-0.1345426,Supermarket
Co-op Food,51.5256052,-0.0905348,Supermarket
China Ark,51.5203402,-0.0525884,Supermarket
Whole Foods Market,51.5622036,-0.0752635,Supermarket
Tesco,51.4356403,-0.0339325,Supermarket
Costcutter,51.5101799,-0.2871931,Supermarket
Arsenal Mini Mart,51.5538294,-0.111026,Supermarket
Co-op Food,51.5004995,-0.0992896,Supermarket
Waitrose,51.5222888,-0.0921222,Supermarket
M&S Foodhall,51.553926,-0.165233,Supermarket
Costless Supermarket,51.5251868,-0.1677061,Supermarket
Planet Organic,51.5378737,-0.0994848,Supermarket
M&S Foodhall,51.4093252,-0.0253944,Supermarket
Super Save,51.5357905,-0.2463474,Supermarket
Pak Discount Cash & Carry,51.5387965,-0.2506357,Supermarket
Lidl,51.5611699,-0.2810103,Supermarket
Sainsbury's,51.4029424,-0.1931919,Supermarket
Thai Smile,51.4932737,-0.2395565,Supermarket
M&S Foodhall,51.5196423,-0.1336008,Supermarket
Budgens,51.5435891,-0.1034635,Supermarket
Longdan,51.5684253,-0.0246506,Supermarket
Budgens,51.4803248,-0.2125111,Supermarket
Costcutter,51.4047157,-0.097606,Supermarket
Organic Food Centre,51.5597162,-0.0739597,Supermarket
Asda,51.4582491,0.130167,Supermarket
Sushi Daily,51.5170472,-0.1267998,Supermarket
Little Waitrose,51.5515632,-0.192598,Supermarket
Lina Food Centre,51.5328914,0.0059555,Supermarket
Lidl,51.4040161,0.0148629,Supermarket
The Co-operative Food,51.3932665,0.0341609,Supermarket
The Co-operative Food,51.5356791,-0.089194,Supermarket
M&S Simply Food,51.5583267,0.2498087,Supermarket
Green Valley,51.5151994,-0.1622861,Supermarket
Waitrose,51.506411,-0.2191224,Supermarket
Londis,51.558598,0.2374634,Supermarket
Costcutter,51.5987065,-0.1106833,Supermarket
N/A,51.5810812,0.2055389,Supermarket
So Real,51.568775,-0.065799,Supermarket
Spar,51.499397,-0.1138056,Supermarket
Kollos Supermarket,51.5634509,-0.0728931,Supermarket
Sainsbury's,51.547484,-0.0732063,Supermarket
Planet Organic,51.515552,-0.1911509,Supermarket
Waitrose,51.5795019,-0.1239343,Supermarket
Sainsbury's,51.5485855,-0.4747792,Supermarket
Lidl,51.5868126,-0.0610958,Supermarket
Food City,51.5392452,-0.0978701,Supermarket
Pound Stop,51.5391684,-0.0979648,Supermarket
Co-op Food,51.5709672,-0.2949597,Supermarket
Co-op Food,51.5000156,-0.3061477,Supermarket
Sainsbury's,51.5417035,-0.0013384,Supermarket
Mother Earth,51.5463199,-0.1008456,Supermarket
Greensmiths,51.5009165,-0.112365,Supermarket
Waitrose,51.5464243,-0.179645,Supermarket
Tesco,51.598887,0.1639417,Supermarket
Lidl,51.5032216,-0.2185824,Supermarket
Bumblebee Natural Foods,51.5497897,-0.1304196,Supermarket
