Borough,Year,Quarter,Count
Barking and Dagenham,2021,1.0,2750.3333333333335
Barking and Dagenham,2021,2.0,2941.0
Barking and Dagenham,2021,3.0,3059.0
Barking and Dagenham,2021,4.0,2251.0
Barking and Dagenham,2022,1.0,3978.3333333333335
Barking and Dagenham,2022,2.0,3317.0
Barking and Dagenham,2022,3.0,3975.0
Barking and Dagenham,2022,4.0,4643.0
Barking and Dagenham,2023,1.0,6642.333333333333
Barking and Dagenham,2023,2.0,6074.0
Barking and Dagenham,2023,3.0,7073.0
Barnet,2021,1.0,4378.666666666667
Barnet,2021,2.0,5178.0
Barnet,2021,3.0,4364.0
Barnet,2021,4.0,3594.0
Barnet,2022,1.0,5876.666666666667
Barnet,2022,2.0,4027.0
Barnet,2022,3.0,7138.0
Barnet,2022,4.0,6465.0
Barnet,2023,1.0,9115.666666666666
Barnet,2023,2.0,8907.0
Barnet,2023,3.0,7389.0
Bexley,2021,1.0,2390.3333333333335
Bexley,2021,2.0,2215.0
Bexley,2021,3.0,2566.0
Bexley,2021,4.0,2390.0
Bexley,2022,1.0,4354.333333333333
Bexley,2022,2.0,2548.0
Bexley,2022,3.0,3398.0
Bexley,2022,4.0,7117.0
Bexley,2023,1.0,4523.0
Bexley,2023,2.0,3603.0
Bexley,2023,3.0,4350.0
Brent,2021,1.0,4244.666666666667
Brent,2021,2.0,4696.0
Brent,2021,3.0,4626.0
Brent,2021,4.0,3412.0
Brent,2022,1.0,5759.333333333333
Brent,2022,2.0,3835.0
Brent,2022,3.0,6283.0
Brent,2022,4.0,7160.0
Brent,2023,1.0,9863.333333333334
Brent,2023,2.0,9411.0
Brent,2023,3.0,7905.0
Bromley,2021,1.0,4384.333333333333
Bromley,2021,2.0,4380.0
Bromley,2021,3.0,4435.0
Bromley,2021,4.0,4338.0
Bromley,2022,1.0,4574.333333333333
Bromley,2022,2.0,3908.0
Bromley,2022,3.0,3803.0
Bromley,2022,4.0,6012.0
Bromley,2023,1.0,6437.0
Bromley,2023,2.0,5310.0
Bromley,2023,3.0,6568.0
Camden,2021,1.0,4692.666666666667
Camden,2021,2.0,4674.0
Camden,2021,3.0,5251.0
Camden,2021,4.0,4153.0
Camden,2022,1.0,7023.0
Camden,2022,2.0,5987.0
Camden,2022,3.0,7883.0
Camden,2022,4.0,7199.0
Camden,2023,1.0,12142.333333333334
Camden,2023,2.0,12149.0
Camden,2023,3.0,10204.0
Croydon,2021,1.0,4795.666666666667
Croydon,2021,2.0,4731.0
Croydon,2021,3.0,5693.0
Croydon,2021,4.0,3963.0
Croydon,2022,1.0,6603.666666666667
Croydon,2022,2.0,5095.0
Croydon,2022,3.0,6622.0
Croydon,2022,4.0,8094.0
Croydon,2023,1.0,10100.0
Croydon,2023,2.0,8711.0
Croydon,2023,3.0,9330.0
Ealing,2021,1.0,4524.333333333333
Ealing,2021,2.0,4954.0
Ealing,2021,3.0,4926.0
Ealing,2021,4.0,3693.0
Ealing,2022,1.0,5121.333333333333
Ealing,2022,2.0,3848.0
Ealing,2022,3.0,6889.0
Ealing,2022,4.0,4627.0
Ealing,2023,1.0,9798.666666666666
