Borough,good_job,trust,fair_treatment,dealing_issues,Quarter,Year
Barking and Dagenham,0.48,0.71,0.63,0.59,1.0,2021
Barnet,0.47,0.7,0.6,0.62,1.0,2021
Bexley,0.54,0.74,0.71,0.58,1.0,2021
Brent,0.49,0.75,0.64,0.63,1.0,2021
Bromley,0.51,0.68,0.6,0.52,1.0,2021
Camden,0.48,0.66,0.52,0.55,1.0,2021
Croydon,0.38,0.65,0.55,0.52,1.0,2021
Ealing,0.48,0.76,0.68,0.64,1.0,2021
Enfield,0.42,0.66,0.62,0.54,1.0,2021
Greenwich,0.47,0.68,0.61,0.56,1.0,2021
Hackney,0.41,0.59,0.5,0.49,1.0,2021
Hammersmith and Fulham,0.51,0.7,0.61,0.62,1.0,2021
Haringey,0.4,0.59,0.53,0.51,1.0,2021
Harrow,0.61,0.82,0.78,0.74,1.0,2021
Havering,0.48,0.73,0.71,0.58,1.0,2021
Hillingdon,0.57,0.79,0.77,0.71,1.0,2021
Hounslow,0.46,0.74,0.67,0.6,1.0,2021
Islington,0.42,0.61,0.52,0.52,1.0,2021
Kensington and Chelsea,0.61,0.8,0.75,0.75,1.0,2021
Kingston upon Thames,0.51,0.72,0.62,0.6,1.0,2021
Lambeth,0.46,0.63,0.55,0.55,1.0,2021
Lewisham,0.45,0.56,0.5,0.46,1.0,2021
Merton,0.51,0.73,0.65,0.59,1.0,2021
Newham,0.46,0.71,0.65,0.53,1.0,2021
Redbridge,0.44,0.64,0.64,0.47,1.0,2021
Richmond upon Thames,0.49,0.66,0.57,0.55,1.0,2021
Southwark,0.42,0.63,0.5,0.49,1.0,2021
Sutton,0.52,0.76,0.72,0.66,1.0,2021
Tower Hamlets,0.42,0.72,0.64,0.55,1.0,2021
Waltham Forest,0.38,0.57,0.54,0.39,1.0,2021
Wandsworth,0.49,0.69,0.57,0.56,1.0,2021
Westminster,0.6,0.78,0.71,0.67,1.0,2021
Barking and Dagenham,0.49,0.71,0.66,0.59,3.0,2023
Barnet,0.48,0.73,0.68,0.62,3.0,2023
Bexley,0.54,0.73,0.72,0.56,3.0,2023
Brent,0.53,0.77,0.71,0.64,3.0,2023
Bromley,0.54,0.68,0.65,0.56,3.0,2023
Camden,0.44,0.67,0.48,0.53,3.0,2023
Croydon,0.38,0.64,0.58,0.51,3.0,2023
Ealing,0.5,0.79,0.76,0.69,3.0,2023
Enfield,0.42,0.7,0.66,0.55,3.0,2023
Greenwich,0.46,0.68,0.62,0.55,3.0,2023
Hackney,0.4,0.58,0.48,0.48,3.0,2023
Hammersmith and Fulham,0.5,0.66,0.59,0.54,3.0,2023
Haringey,0.44,0.62,0.53,0.53,3.0,2023
Harrow,0.63,0.82,0.85,0.78,3.0,2023
Havering,0.51,0.75,0.71,0.63,3.0,2023
Hillingdon,0.61,0.84,0.84,0.78,3.0,2023
Hounslow,0.5,0.75,0.7,0.62,3.0,2023
Islington,0.43,0.6,0.47,0.52,3.0,2023
Kensington and Chelsea,0.6,0.78,0.7,0.64,3.0,2023
Kingston upon Thames,0.47,0.76,0.61,0.57,3.0,2023
Lambeth,0.44,0.6,0.51,0.46,3.0,2023
Lewisham,0.41,0.59,0.5,0.46,3.0,2023
Merton,0.54,0.77,0.69,0.61,3.0,2023
Newham,0.46,0.71,0.61,0.54,3.0,2023
Redbridge,0.46,0.67,0.66,0.57,3.0,2023
Richmond upon Thames,0.53,0.69,0.6,0.5,3.0,2023
Southwark,0.47,0.64,0.51,0.48,3.0,2023
Sutton,0.51,0.8,0.74,0.68,3.0,2023
Tower Hamlets,0.44,0.71,0.61,0.55,3.0,2023
Waltham Forest,0.38,0.58,0.5,0.42,3.0,2023
Wandsworth,0.51,0.68,0.59,0.56,3.0,2023
Westminster,0.59,0.74,0.67,0.65,3.0,2023
Barking and Dagenham,0.49,0.71,0.66,0.59,2.0,2023
Barnet,0.48,0.73,0.68,0.62,2.0,2023
Bexley,0.54,0.73,0.72,0.56,2.0,2023
Brent,0.53,0.77,0.71,0.64,2.0,2023
Bromley,0.54,0.68,0.65,0.56,2.0,2023
Camden,0.44,0.67,0.48,0.53,2.0,2023
Croydon,0.38,0.64,0.58,0.51,2.0,2023
Ealing,0.5,0.79,0.76,0.69,2.0,2023
Enfield,0.42,0.7,0.66,0.55,2.0,2023
Greenwich,0.46,0.68,0.62,0.55,2.0,2023
Hackney,0.4,0.58,0.48,0.48,2.0,2023
Hammersmith and Fulham,0.5,0.66,0.59,0.54,2.0,2023
Haringey,0.44,0.62,0.53,0.53,2.0,2023
Harrow,0.63,0.82,0.85,0.78,2.0,2023
Havering,0.51,0.75,0.71,0.63,2.0,2023
Hillingdon,0.61,0.84,0.84,0.78,2.0,2023
Hounslow,0.5,0.75,0.7,0.62,2.0,2023
Islington,0.43,0.6,0.47,0.52,2.0,2023
Kensington and Chelsea,0.6,0.78,0.7,0.64,2.0,2023
Kingston upon Thames,0.47,0.76,0.61,0.57,2.0,2023
Lambeth,0.44,0.6,0.51,0.46,2.0,2023
Lewisham,0.41,0.59,0.5,0.46,2.0,2023
Merton,0.54,0.77,0.69,0.61,2.0,2023
Newham,0.46,0.71,0.61,0.54,2.0,2023
Redbridge,0.46,0.67,0.66,0.57,2.0,2023
Richmond upon Thames,0.53,0.69,0.6,0.5,2.0,2023
Southwark,0.47,0.64,0.51,0.48,2.0,2023
Sutton,0.51,0.8,0.74,0.68,2.0,2023
Tower Hamlets,0.44,0.71,0.61,0.55,2.0,2023
Waltham Forest,0.38,0.58,0.5,0.42,2.0,2023
Wandsworth,0.51,0.68,0.59,0.56,2.0,2023
Westminster,0.59,0.74,0.67,0.65,2.0,2023
Barking and Dagenham,0.48,0.71,0.67,0.61,1.0,2023
Barnet,0.48,0.74,0.71,0.62,1.0,2023
Bexley,0.51,0.75,0.7,0.58,1.0,2023
Brent,0.56,0.78,0.8,0.71,1.0,2023
Bromley,0.54,0.71,0.66,0.57,1.0,2023
Camden,0.44,0.67,0.49,0.58,1.0,2023
Croydon,0.4,0.66,0.59,0.53,1.0,2023
Ealing,0.52,0.78,0.79,0.72,1.0,2023
Enfield,0.45,0.7,0.65,0.56,1.0,2023
Greenwich,0.5,0.68,0.62,0.55,1.0,2023
Hackney,0.42,0.62,0.51,0.5,1.0,2023
Hammersmith and Fulham,0.53,0.7,0.62,0.57,1.0,2023
Haringey,0.46,0.66,0.52,0.56,1.0,2023
Harrow,0.63,0.82,0.86,0.76,1.0,2023
Havering,0.54,0.77,0.72,0.62,1.0,2023
Hillingdon,0.63,0.84,0.85,0.8,1.0,2023
Hounslow,0.52,0.76,0.71,0.64,1.0,2023
Islington,0.46,0.62,0.48,0.53,1.0,2023
Kensington and Chelsea,0.57,0.78,0.69,0.63,1.0,2023
Kingston upon Thames,0.51,0.78,0.64,0.59,1.0,2023
Lambeth,0.48,0.6,0.49,0.47,1.0,2023
Lewisham,0.42,0.61,0.53,0.46,1.0,2023
Merton,0.54,0.77,0.68,0.63,1.0,2023
Newham,0.49,0.75,0.61,0.61,1.0,2023
Redbridge,0.48,0.7,0.66,0.6,1.0,2023
Richmond upon Thames,0.53,0.69,0.6,0.53,1.0,2023
Southwark,0.5,0.65,0.53,0.49,1.0,2023
Sutton,0.52,0.8,0.73,0.67,1.0,2023
Tower Hamlets,0.47,0.72,0.61,0.56,1.0,2023
Waltham Forest,0.38,0.62,0.53,0.49,1.0,2023
Wandsworth,0.51,0.71,0.59,0.58,1.0,2023
Westminster,0.56,0.75,0.67,0.65,1.0,2023
Barking and Dagenham,0.48,0.71,0.63,0.59,4.0,2022
Barnet,0.47,0.7,0.6,0.62,4.0,2022
Bexley,0.54,0.74,0.71,0.58,4.0,2022
Brent,0.49,0.75,0.64,0.63,4.0,2022
Bromley,0.51,0.68,0.6,0.52,4.0,2022
Camden,0.48,0.66,0.52,0.55,4.0,2022
Croydon,0.38,0.65,0.55,0.52,4.0,2022
Ealing,0.48,0.76,0.68,0.64,4.0,2022
Enfield,0.42,0.66,0.62,0.54,4.0,2022
Greenwich,0.47,0.68,0.61,0.56,4.0,2022
Hackney,0.41,0.59,0.5,0.49,4.0,2022
Hammersmith and Fulham,0.51,0.7,0.61,0.62,4.0,2022
Haringey,0.4,0.59,0.53,0.51,4.0,2022
Harrow,0.61,0.82,0.78,0.74,4.0,2022
Havering,0.48,0.73,0.71,0.58,4.0,2022
Hillingdon,0.57,0.79,0.77,0.71,4.0,2022
Hounslow,0.46,0.74,0.67,0.6,4.0,2022
Islington,0.42,0.61,0.52,0.52,4.0,2022
Kensington and Chelsea,0.61,0.8,0.75,0.75,4.0,2022
Kingston upon Thames,0.51,0.72,0.62,0.6,4.0,2022
Lambeth,0.46,0.63,0.55,0.55,4.0,2022
Lewisham,0.45,0.56,0.5,0.46,4.0,2022
Merton,0.51,0.73,0.65,0.59,4.0,2022
Newham,0.46,0.71,0.65,0.53,4.0,2022
Redbridge,0.44,0.64,0.64,0.47,4.0,2022
Richmond upon Thames,0.49,0.66,0.57,0.55,4.0,2022
Southwark,0.42,0.63,0.5,0.49,4.0,2022
Sutton,0.52,0.76,0.72,0.66,4.0,2022
Tower Hamlets,0.42,0.72,0.64,0.55,4.0,2022
Waltham Forest,0.38,0.57,0.54,0.39,4.0,2022
Wandsworth,0.49,0.69,0.57,0.56,4.0,2022
Westminster,0.6,0.78,0.71,0.67,4.0,2022
Barking and Dagenham,0.5,0.77,0.71,0.66,3.0,2022
Barnet,0.49,0.74,0.71,0.59,3.0,2022
Bexley,0.5,0.74,0.68,0.63,3.0,2022
Brent,0.54,0.73,0.71,0.63,3.0,2022
Bromley,0.56,0.73,0.64,0.61,3.0,2022
Camden,0.46,0.66,0.5,0.59,3.0,2022
Croydon,0.38,0.67,0.57,0.56,3.0,2022
Ealing,0.5,0.77,0.71,0.67,3.0,2022
Enfield,0.44,0.67,0.61,0.58,3.0,2022
Greenwich,0.45,0.67,0.6,0.54,3.0,2022
Hackney,0.47,0.67,0.56,0.59,3.0,2022
Hammersmith and Fulham,0.55,0.74,0.61,0.61,3.0,2022
Haringey,0.5,0.67,0.53,0.57,3.0,2022
Harrow,0.53,0.78,0.74,0.64,3.0,2022
Havering,0.51,0.78,0.7,0.61,3.0,2022
Hillingdon,0.58,0.8,0.83,0.72,3.0,2022
Hounslow,0.55,0.79,0.71,0.65,3.0,2022
Islington,0.47,0.61,0.48,0.55,3.0,2022
Kensington and Chelsea,0.55,0.77,0.66,0.6,3.0,2022
Kingston upon Thames,0.58,0.78,0.71,0.67,3.0,2022
Lambeth,0.42,0.53,0.39,0.43,3.0,2022
Lewisham,0.43,0.65,0.53,0.51,3.0,2022
Merton,0.52,0.76,0.65,0.64,3.0,2022
Newham,0.45,0.67,0.56,0.65,3.0,2022
Redbridge,0.51,0.73,0.68,0.63,3.0,2022
Richmond upon Thames,0.6,0.74,0.66,0.64,3.0,2022
Southwark,0.54,0.73,0.53,0.59,3.0,2022
Sutton,0.56,0.77,0.76,0.65,3.0,2022
Tower Hamlets,0.46,0.68,0.57,0.58,3.0,2022
Waltham Forest,0.4,0.66,0.55,0.55,3.0,2022
Wandsworth,0.52,0.71,0.55,0.55,3.0,2022
Westminster,0.53,0.77,0.58,0.59,3.0,2022
Barking and Dagenham,0.47,0.75,0.7,0.66,2.0,2022
Barnet,0.49,0.75,0.71,0.58,2.0,2022
Bexley,0.48,0.77,0.68,0.63,2.0,2022
Brent,0.56,0.76,0.69,0.64,2.0,2022
Bromley,0.56,0.75,0.62,0.62,2.0,2022
Camden,0.45,0.68,0.51,0.59,2.0,2022
Croydon,0.38,0.67,0.57,0.55,2.0,2022
Ealing,0.48,0.78,0.67,0.64,2.0,2022
Enfield,0.45,0.68,0.61,0.59,2.0,2022
Greenwich,0.45,0.68,0.58,0.54,2.0,2022
Hackney,0.45,0.67,0.54,0.58,2.0,2022
Hammersmith and Fulham,0.55,0.75,0.62,0.64,2.0,2022
Haringey,0.49,0.68,0.53,0.57,2.0,2022
Harrow,0.49,0.77,0.7,0.58,2.0,2022
Havering,0.53,0.79,0.69,0.63,2.0,2022
Hillingdon,0.51,0.8,0.78,0.66,2.0,2022
Hounslow,0.53,0.78,0.71,0.65,2.0,2022
Islington,0.49,0.63,0.5,0.57,2.0,2022
Kensington and Chelsea,0.56,0.78,0.65,0.6,2.0,2022
Kingston upon Thames,0.58,0.77,0.72,0.68,2.0,2022
Lambeth,0.43,0.58,0.38,0.46,2.0,2022
Lewisham,0.4,0.64,0.5,0.51,2.0,2022
Merton,0.5,0.75,0.58,0.6,2.0,2022
Newham,0.44,0.68,0.6,0.66,2.0,2022
Redbridge,0.46,0.72,0.67,0.58,2.0,2022
Richmond upon Thames,0.64,0.73,0.71,0.66,2.0,2022
Southwark,0.48,0.72,0.51,0.56,2.0,2022
Sutton,0.57,0.77,0.74,0.69,2.0,2022
Tower Hamlets,0.47,0.71,0.62,0.58,2.0,2022
Waltham Forest,0.41,0.7,0.6,0.61,2.0,2022
Wandsworth,0.49,0.73,0.51,0.55,2.0,2022
Westminster,0.51,0.77,0.58,0.59,2.0,2022
Barking and Dagenham,0.46,0.77,0.7,0.67,1.0,2022
Barnet,0.51,0.77,0.73,0.59,1.0,2022
Bexley,0.51,0.79,0.71,0.66,1.0,2022
Brent,0.56,0.78,0.68,0.62,1.0,2022
Bromley,0.58,0.75,0.59,0.65,1.0,2022
Camden,0.46,0.7,0.52,0.58,1.0,2022
Croydon,0.37,0.65,0.56,0.53,1.0,2022
Ealing,0.44,0.76,0.63,0.62,1.0,2022
Enfield,0.44,0.7,0.58,0.59,1.0,2022
Greenwich,0.45,0.72,0.6,0.56,1.0,2022
Hackney,0.46,0.68,0.55,0.6,1.0,2022
Hammersmith and Fulham,0.51,0.76,0.63,0.64,1.0,2022
Haringey,0.49,0.68,0.56,0.55,1.0,2022
Harrow,0.48,0.79,0.68,0.6,1.0,2022
Havering,0.5,0.77,0.69,0.65,1.0,2022
Hillingdon,0.52,0.82,0.8,0.65,1.0,2022
Hounslow,0.55,0.8,0.73,0.66,1.0,2022
Islington,0.5,0.6,0.48,0.57,1.0,2022
Kensington and Chelsea,0.54,0.78,0.62,0.6,1.0,2022
Kingston upon Thames,0.62,0.79,0.77,0.71,1.0,2022
Lambeth,0.4,0.6,0.39,0.46,1.0,2022
Lewisham,0.4,0.67,0.49,0.54,1.0,2022
Merton,0.49,0.74,0.59,0.59,1.0,2022
Newham,0.41,0.7,0.61,0.63,1.0,2022
Redbridge,0.46,0.72,0.66,0.6,1.0,2022
Richmond upon Thames,0.67,0.77,0.75,0.69,1.0,2022
Southwark,0.48,0.73,0.51,0.59,1.0,2022
Sutton,0.61,0.8,0.76,0.74,1.0,2022
Tower Hamlets,0.45,0.71,0.62,0.57,1.0,2022
Waltham Forest,0.46,0.75,0.63,0.63,1.0,2022
Wandsworth,0.52,0.73,0.55,0.56,1.0,2022
Westminster,0.51,0.8,0.58,0.6,1.0,2022
Barking and Dagenham,0.5,0.78,0.7,0.7,4.0,2021
Barnet,0.52,0.78,0.74,0.62,4.0,2021
Bexley,0.55,0.85,0.79,0.7,4.0,2021
Brent,0.58,0.81,0.7,0.63,4.0,2021
Bromley,0.56,0.79,0.62,0.66,4.0,2021
Camden,0.49,0.73,0.56,0.59,4.0,2021
Croydon,0.43,0.75,0.63,0.57,4.0,2021
Ealing,0.45,0.78,0.64,0.64,4.0,2021
Enfield,0.46,0.73,0.62,0.59,4.0,2021
Greenwich,0.5,0.72,0.64,0.6,4.0,2021
Hackney,0.46,0.67,0.51,0.56,4.0,2021
Hammersmith and Fulham,0.55,0.79,0.68,0.66,4.0,2021
Haringey,0.5,0.7,0.57,0.56,4.0,2021
Harrow,0.47,0.81,0.71,0.63,4.0,2021
Havering,0.53,0.8,0.73,0.66,4.0,2021
Hillingdon,0.57,0.82,0.76,0.65,4.0,2021
Hounslow,0.55,0.82,0.74,0.67,4.0,2021
Islington,0.53,0.65,0.51,0.62,4.0,2021
Kensington and Chelsea,0.56,0.83,0.66,0.65,4.0,2021
Kingston upon Thames,0.66,0.84,0.8,0.73,4.0,2021
Lambeth,0.45,0.67,0.45,0.56,4.0,2021
Lewisham,0.44,0.68,0.52,0.56,4.0,2021
Merton,0.52,0.77,0.61,0.62,4.0,2021
Newham,0.46,0.77,0.66,0.65,4.0,2021
Redbridge,0.47,0.73,0.64,0.58,4.0,2021
Richmond upon Thames,0.7,0.82,0.75,0.7,4.0,2021
Southwark,0.5,0.76,0.52,0.61,4.0,2021
Sutton,0.65,0.84,0.77,0.77,4.0,2021
Tower Hamlets,0.48,0.75,0.66,0.58,4.0,2021
Waltham Forest,0.48,0.77,0.66,0.64,4.0,2021
Wandsworth,0.53,0.75,0.6,0.62,4.0,2021
Westminster,0.48,0.83,0.66,0.67,4.0,2021
Barking and Dagenham,0.44,0.77,0.66,0.64,3.0,2021
Barnet,0.49,0.77,0.72,0.62,3.0,2021
Bexley,0.58,0.85,0.78,0.74,3.0,2021
Brent,0.57,0.83,0.71,0.66,3.0,2021
Bromley,0.6,0.81,0.66,0.65,3.0,2021
Camden,0.49,0.77,0.57,0.59,3.0,2021
Croydon,0.49,0.75,0.63,0.58,3.0,2021
Ealing,0.49,0.79,0.67,0.67,3.0,2021
Enfield,0.5,0.74,0.64,0.62,3.0,2021
Greenwich,0.55,0.74,0.66,0.63,3.0,2021
Hackney,0.48,0.69,0.54,0.56,3.0,2021
Hammersmith and Fulham,0.57,0.78,0.67,0.67,3.0,2021
Haringey,0.51,0.73,0.63,0.62,3.0,2021
Harrow,0.51,0.82,0.77,0.67,3.0,2021
Havering,0.57,0.82,0.78,0.69,3.0,2021
Hillingdon,0.58,0.86,0.79,0.68,3.0,2021
Hounslow,0.56,0.8,0.73,0.68,3.0,2021
Islington,0.55,0.66,0.53,0.63,3.0,2021
Kensington and Chelsea,0.59,0.8,0.65,0.63,3.0,2021
Kingston upon Thames,0.67,0.86,0.78,0.71,3.0,2021
Lambeth,0.48,0.69,0.47,0.56,3.0,2021
Lewisham,0.43,0.68,0.55,0.56,3.0,2021
Merton,0.55,0.78,0.64,0.62,3.0,2021
Newham,0.45,0.8,0.71,0.65,3.0,2021
Redbridge,0.44,0.74,0.67,0.58,3.0,2021
Richmond upon Thames,0.65,0.84,0.73,0.67,3.0,2021
Southwark,0.48,0.75,0.54,0.59,3.0,2021
Sutton,0.63,0.86,0.75,0.79,3.0,2021
Tower Hamlets,0.45,0.75,0.65,0.55,3.0,2021
Waltham Forest,0.51,0.78,0.69,0.55,3.0,2021
Wandsworth,0.55,0.76,0.57,0.68,3.0,2021
Westminster,0.52,0.83,0.69,0.68,3.0,2021
Barking and Dagenham,0.47,0.8,0.66,0.68,2.0,2021
Barnet,0.51,0.79,0.72,0.63,2.0,2021
Bexley,0.59,0.86,0.81,0.77,2.0,2021
Brent,0.53,0.8,0.7,0.69,2.0,2021
Bromley,0.62,0.84,0.71,0.67,2.0,2021
Camden,0.53,0.77,0.58,0.59,2.0,2021
Croydon,0.5,0.76,0.63,0.6,2.0,2021
Ealing,0.53,0.79,0.71,0.69,2.0,2021
Enfield,0.52,0.75,0.67,0.64,2.0,2021
Greenwich,0.55,0.75,0.7,0.68,2.0,2021
Hackney,0.49,0.69,0.56,0.57,2.0,2021
Hammersmith and Fulham,0.6,0.81,0.69,0.68,2.0,2021
Haringey,0.53,0.75,0.66,0.64,2.0,2021
Harrow,0.52,0.83,0.78,0.71,2.0,2021
Havering,0.57,0.82,0.78,0.69,2.0,2021
Hillingdon,0.6,0.85,0.81,0.7,2.0,2021
Hounslow,0.57,0.82,0.74,0.7,2.0,2021
Islington,0.56,0.7,0.54,0.62,2.0,2021
Kensington and Chelsea,0.62,0.79,0.7,0.68,2.0,2021
Kingston upon Thames,0.67,0.85,0.8,0.75,2.0,2021
Lambeth,0.49,0.73,0.52,0.6,2.0,2021
Lewisham,0.46,0.67,0.55,0.58,2.0,2021
Merton,0.6,0.79,0.69,0.67,2.0,2021
Newham,0.47,0.8,0.73,0.67,2.0,2021
Redbridge,0.48,0.79,0.71,0.66,2.0,2021
Richmond upon Thames,0.63,0.87,0.72,0.73,2.0,2021
Southwark,0.54,0.77,0.58,0.62,2.0,2021
Sutton,0.61,0.86,0.78,0.78,2.0,2021
Tower Hamlets,0.45,0.76,0.66,0.61,2.0,2021
Waltham Forest,0.54,0.8,0.68,0.67,2.0,2021
Wandsworth,0.57,0.78,0.63,0.7,2.0,2021
Westminster,0.52,0.84,0.72,0.66,2.0,2021
